Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size,Size,Accuracy,FLOPS,Flips
4,1001,1,198,4,0.3,43,11,0.3,469,2,2,2,2.558091441124201,0.96675,1.9237939652149192,30
4,1000,1,238,4,0.3,43,7,0.3,342,3,2,2,3.059144819918442,0.963,1.4497126536653369,35
4,1004,1,238,4,0.3,41,2,0.3,316,2,2,2,3.010542391309611,0.94825,1.2688593633542664,48
4,1000,1,242,3,0.3,41,11,0.3,317,3,2,2,3.082361318647708,0.973,1.337930757951984,34
4,1030,1,242,4,0.3,45,11,0.3,319,2,2,2,3.1246835357909593,0.96425,1.3633334513191362,45
4,1787,1,198,4,0.3,44,11,0.3,316,2,2,2,2.938606096116473,0.9665,1.2405293226500382,22
4,1000,1,231,4,0.3,45,11,0.3,469,3,2,2,3.171672029564656,0.97575,2.3053880518203784,30
4,1000,1,240,4,0.3,40,8,0.3,338,2,2,2,3.0863199218212234,0.961,1.44622866493427,47
4,1007,1,242,4,0.3,48,11,0.3,315,2,2,2,3.0986197025705193,0.9645,1.3333691495626254,45
4,1069,1,194,3,0.3,48,1,0.3,483,2,2,1,2.6396208467346347,0.964,2.0155933993954243,43
4,1280,1,153,4,0.3,43,1,0.3,491,3,1,1,2.0262747154039844,0.9495,1.577415751855455,30
4,1000,1,44,4,0.3,1932,11,0.3,354,2,1,1,1.0387634390264542,0.96475,0.5181907826495546,46
4,1000,1,146,3,0.3,40,1,0.3,511,3,1,2,1.7492938609415931,0.95425,1.4743416476546165,35
4,1000,1,55,3,0.3,104,11,0.3,489,2,1,1,0.5579299849461523,0.96925,0.5849302963111885,20
4,1000,1,44,4,0.3,1435,11,0.3,354,3,1,2,0.8605921337102486,0.947,0.45244181737969086,37
4,1001,1,44,4,0.3,42,11,0.3,357,3,1,1,0.36635368969912824,0.9455,0.2751104816293658,42
4,1000,1,55,4,0.4,43,11,0.4,354,3,1,1,0.4707715161895592,0.953,0.3283495815998788,45
1,1003,1,231,1,0.4,40,11,0.4,354,3,1,1,2.950623792087541,0.9355,1.4883525559475765,23
4,1000,1,154,1,0.3,40,11,0.3,354,3,1,1,1.6807561385249294,0.968,0.9265539178765,5
4,1126,1,44,1,0.3,42,11,0.3,340,2,1,1,3.3823220938155525,0.96425,0.2610687752285524,46
4,1000,1,44,2,0.4,40,11,0.4,307,3,1,1,3.3476836470305495,0.9435,0.2128939415584379,30
4,1556,1,154,4,0.3,41,11,0.3,490,3,1,1,3.19312147805008,0.97425,1.7317766853008651,29
4,1000,1,182,1,0.3,48,7,0.3,468,2,1,2,5.287650147869789,0.97125,1.711530542593584,19
4,1000,1,55,4,0.3,102,11,0.3,354,2,1,1,0.49755286100858187,0.96475,0.3391697547098235,34
4,1005,1,91,4,0.3,2725,7,0.3,327,3,2,1,2.9029777013910114,0.9575,1.1479557635723885,33
2,14053,1,50,3,0.4,42,10,0.4,256,2,1,1,0.005886807357769808,0.912,0.8449288415984998,28
